URL,Price (₪),Rooms,Street,Neighborhood,City,Floor,SqM,Phone,Type,Image URL
https://www.yad2.co.il/item/sf75r2uq,2350000,3,שלמה לוי,נרקיסים,ראשון לציון,12,90,055-4308354,Agency,https://img.yad2.co.il/Pic/202512/15/2_5/o/y2_1pa_010139_20251215154410.jpeg
https://www.yad2.co.il/item/1c7lebi6,2350000,3,לא ידוע,נרקיסים,ראשון לציון,9,92,055-4363392,Agency,https://img.yad2.co.il/Pic/202508/18/2_5/o/y2_3_oLavcu4ngv_20250818.png
https://www.yad2.co.il/item/z4szmk7y,2350000,3,לא ידוע,נרקיסים,ראשון לציון,2,92,055-4363392,Agency,https://img.yad2.co.il/Pic/202503/04/2_5/o/y2_3_AsGr0X1tS2_20250304.jpg
https://www.yad2.co.il/item/4hk9ogl1,2350000,3,לא ידוע,נרקיסים,ראשון לציון,3,92,,Agency,https://img.yad2.co.il/Pic/202505/05/2_5/o/y2_8_kZzNxzaTxU_20250505.jpg
https://www.yad2.co.il/item/201bgvr5,2350000,3,לא ידוע,נרקיסים,ראשון לציון,3,93,,Agency,https://img.yad2.co.il/Pic/202508/26/2_5/o/y2_1pa_010346_20250826221832.jpeg
https://www.yad2.co.il/item/mvdccyni,2350000,3,הצבר,נרקיסים,ראשון לציון,6,80,055-4518809,Agency,https://img.yad2.co.il/Pic/202507/30/2_5/o/y2_1pa_010240_20250730160555.jpeg
https://www.yad2.co.il/item/66sik7eu,2350000,3,לא ידוע,נרקיסים,ראשון לציון,11,100,053-7934431,Agency,https://img.yad2.co.il/Pic/202507/06/2_5/o/y2_1pa_010835_20250706003338.jpeg
https://www.yad2.co.il/item/0vjgs9qr,2350000,3,יעקב בן סירא,הרקפות,ראשון לציון,2,89,055-4361796,Agency,https://img.yad2.co.il/Pic/202303/27/2_5/o/y2_1_997723_20230327.jpg
https://www.yad2.co.il/item/txpr11yk,2350000,3,לא ידוע,נרקיסים,ראשון לציון,4,90,055-4363392,Agency,https://img.yad2.co.il/Pic/202509/20/2_5/o/y2_9_K8ufWrrF00_20250920.jpeg
https://www.yad2.co.il/item/sk6a8c73,2340000,3,חיים חפר,הרקפות,ראשון לציון,4,88,054-9762561,Private,https://img.yad2.co.il/Pic/202511/10/2_1/o/y2_1pa_010391_20251110104046.jpeg
https://www.yad2.co.il/item/wu158yck,2325000,3,לא ידוע,נרקיסים,ראשון לציון,2,90,055-4363392,Agency,https://img.yad2.co.il/Pic/202506/26/2_5/o/y2_1pa_010370_20250626181125.jpeg
https://www.yad2.co.il/item/0nk44bko,2300000,3,יעקב בן סירא,הרקפות,ראשון לציון,6,90,055-2110115,Private,https://img.yad2.co.il/Pic/202507/14/2_1/o/y2_1pa_010842_20250714222002.jpeg
https://www.yad2.co.il/item/hpqvpv84,2300000,3,לא ידוע,נרקיסים,ראשון לציון,5,92,055-4363392,Agency,https://img.yad2.co.il/Pic/202510/26/2_5/o/y2_7_mrbMgXE_999988_20251026.jpeg
https://www.yad2.co.il/item/sxcttcn3,2300000,3,אורנה פורת,הרקפות,ראשון לציון,3,95,055-4525358,Agency,https://img.yad2.co.il/Pic/202511/25/2_5/o/y2_1_997280_20251125.png
https://www.yad2.co.il/item/xrkrr8yy,2299000,3,לא ידוע,נרקיסים,ראשון לציון,3,90,055-4523584,Agency,https://img.yad2.co.il/Pic/202511/23/2_5/o/y2_9_X90uMhsAn1_20251123.jpeg
https://www.yad2.co.il/item/sw7cyuw7,2290000,3,אורנה פורת,הרקפות,ראשון לציון,5,75,055-4361115,Agency,https://img.yad2.co.il/Pic/202510/06/2_5/o/y2_1pa_010629_20251006130613.jpeg
https://www.yad2.co.il/item/z2vy5asn,2290000,3,לא ידוע,הרקפות,ראשון לציון,2,93,055-4367481,Agency,https://img.yad2.co.il/Pic/202510/28/2_5/o/y2_2_Zjq8gx9o3L_20251028.jpeg
https://www.yad2.co.il/item/68k92evo,2290000,3,חיים חפר,הרקפות,ראשון לציון,11,85,055-4367998,Agency,https://img.yad2.co.il/Pic/202510/05/2_5/o/y2_9_KCvPqQvhtz_20251005.jpg
https://www.yad2.co.il/item/g5zpi21a,2290000,3,שולמית אלוני,נחלת יהודה,ראשון לציון,8,82,055-4368579,Agency,https://img.yad2.co.il/Pic/202507/16/2_5/o/y2_1pa_010979_20250716220542.jpeg
https://www.yad2.co.il/item/5vzia1vx,2290000,3,לא ידוע,נוריות,ראשון לציון,10,86,055-4559813,Agency,https://img.yad2.co.il/Pic/202508/27/2_5/o/y2_1pa_010667_20250827041427.jpeg
https://www.yad2.co.il/item/ay68rrp3,2290000,3,ירושלים,נרקיסים,ראשון לציון,3,80,055-4360850,Agency,https://img.yad2.co.il/Pic/202511/17/2_5/o/y2_1pa_010979_20251117153700.jpeg
https://www.yad2.co.il/item/a6nujqx5,2280000,3,לא ידוע,לא ידוע,ראשון לציון,4,91,055-4363123,Agency,https://img.yad2.co.il/Pic/202511/26/2_5/o/y2_1pa_010528_20251126135019.jpeg
https://www.yad2.co.il/item/slrlj7ic,2270000,3,חיים חפר,הרקפות,ראשון לציון,17,88,055-4525083,Agency,https://img.yad2.co.il/Pic/202512/03/2_5/o/y2_1_lqA178tj7G_20251203.jpeg
https://www.yad2.co.il/item/tghi697z,2270000,3,לא ידוע,הרקפות,ראשון לציון,4,86,055-4367481,Agency,https://img.yad2.co.il/Pic/202505/19/2_5/o/y2_5_fIrT83EHaf_20250519.jpeg
https://www.yad2.co.il/item/13tjiov7,2265000,3,לא ידוע,נרקיסים,ראשון לציון,8,93,055-4363392,Agency,https://img.yad2.co.il/Pic/202509/09/2_5/o/y2_7_EWuHOOgS0S_20250909.png
https://www.yad2.co.il/item/5pit9jya,2250000,3,לא ידוע,נרקיסים,ראשון לציון,6,90,055-4363392,Agency,https://img.yad2.co.il/Pic/202507/30/2_5/o/y2_3_fQiOYSRtFz_20250730.jpeg
https://www.yad2.co.il/item/314v5h7z,2250000,3,יעקב בן סירא,הרקפות,ראשון לציון,3,90,053-2447866,Agency,https://img.yad2.co.il/Pic/202509/02/2_5/o/y2_1pa_010831_20250902121842.jpeg
https://www.yad2.co.il/item/kg9tbhv0,2250000,3,לא ידוע,נרקיסים,ראשון לציון,5,92,055-4363392,Agency,https://img.yad2.co.il/Pic/202508/21/2_5/o/y2_1pa_010638_20250821141256.jpeg
https://www.yad2.co.il/item/4lz4qurb,2250000,3,חיים חפר,הרקפות,ראשון לציון,15,88,055-4525083,Agency,
https://www.yad2.co.il/item/q30c91qp,2250000,3,דודו דותן,הרקפות,ראשון לציון,3,90,055-4366098,Agency,https://img.yad2.co.il/Pic/202512/21/2_5/o/y2_1pa_010012_20251221162140.jpeg
https://www.yad2.co.il/item/isqcqsxs,2250000,3,דודו דותן,הרקפות,ראשון לציון,4,90,055-4366098,Agency,https://img.yad2.co.il/Pic/202512/21/2_5/o/y2_1pa_994444_20251221162140.jpeg
https://www.yad2.co.il/item/6pysxn6z,2250000,3,דודו דותן,הרקפות,ראשון לציון,4,91,050-6306880,Private,https://img.yad2.co.il/Pic/202511/18/2_1/o/y2_1pa_010574_20251118085725.jpeg
https://www.yad2.co.il/item/926ukemm,2240000,3,יעקב בן סירא,הרקפות,ראשון לציון,2,88,055-4307200,Agency,https://img.yad2.co.il/Pic/202511/25/2_5/o/y2_1_SVMLQSyc1r_20251125.png
https://www.yad2.co.il/item/iq13yfen,2230000,3,לא ידוע,הרקפות,ראשון לציון,16,90,053-6310312,Agency,
https://www.yad2.co.il/item/cl0ypx01,2200000,3,הלוחמות,נרקיסים,ראשון לציון,2,90,055-4528217,Agency,https://img.yad2.co.il/Pic/202507/15/2_5/o/y2_1pa_010077_20250715130040.jpeg
https://www.yad2.co.il/item/rmgn3zps,2200000,3,אלי יבלון,נוריות,ראשון לציון,9,81,,Agency,https://img.yad2.co.il/Pic/202503/31/2_5/o/y2_1pa_010155_20250331135112.jpeg
https://www.yad2.co.il/item/ryr446gv,2199000,3,חיים חפר,הרקפות,ראשון לציון,2,89,055-4524659,Agency,https://img.yad2.co.il/Pic/202510/25/2_5/o/y2_1pa_010158_20251025184236.jpeg
https://www.yad2.co.il/item/lhxgqyd1,2199000,3,חיים חפר,הרקפות,ראשון לציון,2,89,,Agency,https://img.yad2.co.il/Pic/202512/03/2_5/o/y2_1pa_010131_20251203131223.jpeg
https://www.yad2.co.il/item/my6pnv0s,2190000,3,חיים חפר,הרקפות,ראשון לציון,8,88,053-6310312,Agency,https://img.yad2.co.il/Pic/202507/09/2_5/o/y2_1_xypAEk9uL6_20250709.png
https://www.yad2.co.il/item/apwh2nf5,2150000,3,דודו דותן,הרקפות,ראשון לציון,6,88,055-4369816,Agency,https://img.yad2.co.il/Pic/202505/27/2_5/o/y2_1pa_010944_20250527123858.jpeg
https://www.yad2.co.il/item/ok82pyvc,2150000,3,חיים חפר,הרקפות,ראשון לציון,9,93,055-4369816,Agency,https://img.yad2.co.il/Pic/202509/03/2_5/o/y2_5_nrFaPV0FrP_20250903.jpg
https://www.yad2.co.il/item/i2w33px5,2150000,3,לא ידוע,הרקפות,ראשון לציון,3,95,055-4369816,Agency,https://img.yad2.co.il/Pic/202510/16/2_5/o/y2_1pa_010788_20251016121817.jpeg
